"etape","long","court","option"
4,"QUINQUIES","CAB",
4,"REGIMENT","RGT",
4,"REGION(AL|)","REG",
4,"REPUBLIQUE","REP",
4,"RESTAURANT","REST",
4,"SANATORIUM","SANA",
4,"SERVICE","SCE",
4,"SOCIETE","SOC",
4,"SOUS COUVERT","SC @",
4,"SOUS PREFECTURE","SPREF @",
4,"SOUS PREFET","SPREF @",
4,"SUPERIEUR(E|)","SUP",
4,"SYNDICAT","SYND",
4,"TECHNI(CIEN|QUE)","TECH",
4,"TER","T",
4,"TRI SERVICE ARRIVEE","TSA @ @",
4,"TUNNEL","TUN",
4,"UNIVERSITAIRE","UNVT",
4,"UNIVERSITE","UNIV",
4,"VELODROME","VELOD",
4,"VIEILLE(S|)","VIEL",
4,"VIEUX","VX",
5.0,"CENTRE cial","ccal @",
5,"CENTRE","CTRE",
5,"ABBAYE","ABBA",
5,"AG(G|)LOMERATION ","AGGL",
5,"AIRES ","AIRE",
5,"ANCIEN(NES|NE|S|) (CHEMIN|CHEMINS|ROUTE|ROUTES)","ANCI \g<2>",
5,"ARCADE(S|)","ARCA",
5,"AUTOROUTE","AUTO",
5,"BARRIERE(S|)","BARR",
5,"BAS CHEMIN","BAS",
5,"BASTI(DE|ON)","BAST",
5,"BEGUINAGE(S|)","BEGU",
5,"BERGE(S|)","BERG",
5,"BOUCLE","BOUC",
5,"BOURG","BOUR",
5,"BUTTE","BUTT",
5,"CAMP(AGNE|ING)","CAMP",
5,"CARR(E|EAU|EFFOUR|IERE(S|))","CARR",
5,"CASTEL","CAST",
5,"CAVEE","CAVE",
5,"CENTRAL","CENT",
5,"CHALET","CHAL",
5,"CHAPELLE","CHAP",
5,"CHARMILLE","CHAR",
5,"CHATEAU","CHAT",
5,"CHAUSSEE(S|)","CHAU",
5,"CHEMIN( VICINAL|S VICINAUX|EMENT(S|))","CHEM \g<1>",
5,"CHEMIN","CHEM",
5,"CITES","CITE",
5,"CLOITRE","CLOI",
5,"COLLINE(S|)","COLL",
5,"CONTOUR","CONT",
5,"CORNICHE(S|)","CORN",
5,"COTEAU","COTE",
5,"COTTAGE(S|)","COTT",
5,"COURS","COUR",
5,"DARSE","DARS",
5,"DEGRE(S|)","DEGRE",
5,"DESCENTE(S|)","DESC",
5,"DIGUE(S|)","DIGU",
5,"DOMAINE(S|)","DOMA",
5,"ECLUSE(S|)","ECLU",
5,"EGLISE","EGLI",
5,"ENCEINTE","ENCE",
5,"ENCL(AVE|OS)","ENCL",
5,"ESCALIER(S|)","ESCA",
5,"ESPACE(S|)","ESPA",
5,"ESPLANADE(S|)","ESPL",
5,"ETANG","ETAN",
5,"FAUBOURG","FAUB",
5,"FERME(S|)","FERM",
5,"FONTAINE","FONT",
5,"FORUM","FORU",
5,"FOSSE(S|)","FOSS",
5,"FOYER","FOYE",
5,"GALERIE(S|)","GALE",
5,"GARENNE","GARE",
5,"GRAND(E|ES|) (BOULEVARD|ENSEMBLE|RUE)(S|)","GRAN \g<1>\g<2>",
5,"GRILLE","GRIL",
5,"GRIMPETTE","GRIM",
5,"GROUPE(MENT|S|)","GROU",
5,"HALLE(S|)","HALL",
5,"HAMEAU(X|)","HAME",
5,"HIPPODROME","HIPP",
5,"IMPASSES","IMPA",
5,"JARDIN(S|)","JARD",
5,"JETEE(S)","JETE",
5,"LEVEE","LEVE",
5,"LOTISSEMENTS","LOTI",
5,"LOTISSEMENT","LOT",
5,"MAISON FORESTIERE","MAIS @",
5,"MANOIR","MANO",
5,"MARCHE(S|)","MARC",
5,"METRO","METR",
5,"MONTEE(S|)","MONT",
5,"MOULIN(S|)","MOUL",
5,"MUSEE","MUSE",
5,"NOUVELLE ROUTE","NOUV RTE",
5,"PALAIS","PALA",
5,"PARCS","PARC",
5,"PARKING","PARK",
5,"PARVIS","PARV",
5,"PASS(AGE A NIVEAU|E(S|)|ERELLE(S|))","PASS",
5,"PATIO","PATI",
5,"PAVILLON(S|)","PAVI",
5,"PERI(PHERIQUE|STYLE)","PERI",
5,"PETIT(E|ES|) (CHEMIN|ALLEE|IMPASSE|ROUTE|RUE)(S|)","PETI \g<1>\g<2>",
5,"PLACIS","PLAC",
5,"PLAGE(S|)","PLAG",
5,"PLAINE","PLAI",
5,"PLATEAU(X|)","PLAT",
5,"POINTE","POIN",
5,"PONTS","PONT",
